NUM;RET;REC;EBITDA;EBIT;LAIR;LAOD;LL;FCO
6174;0.0523;84774;-2110;-4158;-9960;-7161;-7167;-9073
6175;-0.1290;60718;1162;-2514;-3453;-3155;-3155;1415
6176;0.0058;100554;16614;14804;14049;9548;9548;12797
6177;0.0982;1834679;435944;345155;248557;166325;166325;10058
6178;-0.0183;681552;186169;133820;90963;63597;63597;-5118
6179;-0.2381;158554;179;-7573;-9948;-8759;-8732;3147
6180;-0.1136;2252848;261621;218533;82094;61730;62427;-519664
6181;0.0110;494093;76760;46648;38159;36026;36026;-84440
6182;-0.0599;598767;80574;59059;64829;47587;47587;-149327
6183;-0.3781;137516;15836;5852;-4406;-8906;-9039;-9949
6184;-0.0128;647168;113941;98856;99021;82181;82181;47947
6185;-0.1192;182693;9932;4132;3319;1567;560;39968
6186;-0.0119;761260;98469;89525;109618;75757;75346;46289
6187;-0.0487;5252145;337296;158900;-20010;25215;23502;-353860
6188;-0.2491;193298;16855;11316;13011;11875;9797;50744
6189;0.0836;49849;7451;5414;6968;4267;4267;1039
6190;-0.1476;144990;52847;36824;33767;22198;22198;31103
6191;-0.0313;36835;-2032;-3357;-6417;-5786;-5776;-5105
6192;-0.0945;178653;41848;34064;81587;65684;63781;-342795
6193;-0.1953;802332;173755;171065;183360;165770;152560;-32963
6194;-0.0352;95590;7724;4184;-5273;-6185;-6203;811
6195;0.0596;194205;49503;48018;51282;36030;35887;16322
6196;0.1314;2369848;664110;404593;124045;93372;93389;374164
6197;0.0529;9493;-43643;-43762;-21138;-21895;-21685;34606
6198;0.0529;961142;35834;14481;28711;30761;30767;-152608
6199;-0.1092;1537885;241413;245365;271928;232988;228823;-304905
6200;-0.1207;500307;-4505;-9277;-18721;-24894;-24894;2680
6201;0.0547;54800499;16370459;12812678;14834890;11194174;10984964;12923606
6202;0.0653;353;-63454;-67098;-6608;-13852;-13852;-74733
6203;-0.0913;85013;4245;824;-1832;-2480;-1526;1545
6204;-0.4202;229893;28977;19667;4060;1297;1289;19767
6205;-0.4348;9674;1824;-327;-4230;-4230;-3593;-1383
6206;-0.2249;424983;-19290;-25258;-31183;-30341;-30341;131619
6207;-0.0098;658380;10918;9409;2191;2187;2187;-80209
6208;-0.0506;521271;22228;11700;15214;11587;11587;-46783
6209;-0.1022;953917;143628;122995;139244;95695;66770;107174
6210;-0.5714;4141;-1955;-2094;-4596;-4596;-4595;-2107
6211;-0.3181;1756807;270254;158784;-79798;-75641;-47093;215745
6212;0.3600;8645;3388;1909;-1236;-1711;-1711;-2938
6213;-0.3352;208097;102058;99862;82684;66896;66896;-17079
6214;-0.0867;597563;36341;29986;37868;25765;25765;-107090
6215;0.0938;2294623;657454;429361;378727;182793;182793;514010
6216;-0.2435;84508;1285;-2301;-15869;-16104;-17118;7892
6217;0.1233;96523;18106;15730;14361;10505;10505;3660
6218;-0.0356;280558;283785;27792;21630;11875;11875;237696
6219;-0.1659;493551;88293;79990;70602;47050;47048;-2913
6220;0.0055;160532;26876;20731;17932;11378;11378;11227
6221;0.0004;3789008;1410945;1189426;670990;615695;617519;917687
6222;0.0410;196277;73241;52132;34197;22373;22373;47955
6223;-0.1134;472133;40011;14013;2664;1205;468;-29118
6224;0.1283;157946;139144;138771;103002;72834;72834;173212
6225;0.0191;164557;27155;19882;15811;7146;7137;39065
6226;0.0666;416860;72418;67605;83355;69978;60827;-63210
6227;-0.0008;307867;42932;37110;34352;20078;19896;14712
6228;-0.1696;56653;-10866;-12950;-47740;-49163;-49165;19172
6229;0.2157;3965953;1188585;650076;677968;418337;418337;823535
6230;-0.1905;205004;12659;4243;5506;-865;-864;-83008
6231;0.1874;3752264;1032553;349753;317137;213456;213456;-1058708
6232;-0.0513;305018;71351;51545;43393;33563;32990;67256
6233;0.0050;607039;318017;309296;206331;140151;205844;27710
6234;-0.5950;200499;3699;1602;-5775;-13165;-13552;-53610
6235;-0.0720;167366;73936;37015;12627;5699;8585;70586
6236;0.0173;510663;72819;53307;60580;40279;40279;78844
6237;-0.2889;0;10745;10656;14925;15027;15027;11781
6238;0.0451;3063476;392447;179207;222680;140940;-26090;-1272523
6239;-0.0226;22985283;15534976;13935938;13668055;11200887;11290983;10853960
6240;-0.0150;205999;41952;35344;31716;21243;21243;-48
6241;0.2774;4884407;162621;123591;-40477;-24759;-24216;499339
6242;-0.1129;181652;17443;16700;15028;8225;8225;-291634
6243;0.0105;1126117;169536;122037;161883;124259;121564;189204
6244;-0.0653;53272;5208;3222;813;611;714;2830
6245;-0.0162;1820131;298687;258114;254517;218918;215187;184871
6246;-0.2066;255108;65012;44049;45372;32080;31735;33804
6247;0.1538;222650;11193;10343;13652;7891;7827;-20694
6248;-0.0189;275824;37827;28625;30256;28732;28732;15397
6249;0.1299;618566;80528;70305;77191;70789;66678;76685
6250;0.2028;7455344;3600536;3103959;3028561;2458105;2585784;3712121
6251;-0.1765;904879;70777;19624;12952;8382;8382;26932
6252;-0.0156;638436;82243;50664;53140;34110;33921;39654
6253;0.0032;1151852;137330;120739;-22131;-14247;-14247;109634
6254;-0.1915;199625;-10238;-19709;-22989;-9267;-9597;-15137
6255;0.0936;7607;-7628;-7816;758;359;427;4885
6256;0.1314;222463;13986;7813;4352;27921;26272;23598
6257;0.0753;1562230;823519;717681;665795;527907;515719;784645
6258;0.1045;27006;13892;5922;6463;2317;2317;-20643
6259;0.1409;6966567;1131723;616117;74871;356420;360904;625393
6260;0.0634;6400230;777990;559888;407387;359707;360158;558503
6261;0.0175;1259674;400908;314510;56785;15751;15662;581087
6262;-0.0906;244446;-56562;-70359;-78632;4529;4529;-89216
6263;0.1250;1097275;105530;64609;96858;97768;97768;100675
6264;0.1377;3426235;1092973;866331;565276;671126;671126;380783
6265;0.0460;764085;260672;62783;-93489;-123315;-123315;-119961
6266;0.0796;330960;102896;95987;100159;100802;100806;28435
6267;0.1678;1219760;419019;342328;315817;264451;264451;555151
6268;0.0389;838444;185039;129920;100052;84601;84601;209804
6269;0.1723;1050216;268970;214856;180956;127322;127322;334066
6270;0.1213;831402;545528;421348;556314;450067;316526;391691
6271;0.1058;1890188;166963;36035;141888;150329;149788;517974
6272;0.0942;4738433;405516;178372;88997;46727;38695;45809
6273;0.2259;622892;51760;21800;-5990;14946;9549;-47594
6274;0.0454;3178570;825035;631533;516821;361623;356104;334739
6275;0.3689;133421;29812;33376;31750;28796;31934;-8
6276;-0.0833;78462;-293;-11027;-10375;-10153;-10153;-2673
6277;-0.1141;90966;17313;11368;9699;8927;8927;1329
6278;-0.1158;1389273;141816;122909;140148;105905;82526;-211729
6279;0.0961;370372;81697;55803;-50114;-29753;-29753;1639
6280;0.2655;323326;13958;12306;7929;6306;6306;1835
6281;0.0845;263285;44196;42221;43340;35776;48105;-90692
6282;0.1601;71216;1807;-78;408;2165;2139;-14591
6283;-0.3545;3244;324;-5;-253;-258;-258;5978
6284;-0.0144;719614;292102;196616;172780;143453;143384;208401
6285;0.1160;367094;197825;158975;113127;71988;70981;59659
6286;0.1284;207749;19549;12265;19819;17194;16693;73529
6287;0.0419;930294;189226;151042;137873;116073;116073;224231
6288;0.0252;9207378;450743;674094;195335;-39876;-285489;3049138
6289;0.0128;0;-1086;-1086;287;-234;-234;-20832
6290;0.1530;36775;-21960;-29151;31394;24356;24356;-1959
6291;0.0436;3341902;334607;224790;215335;219699;207951;841329
6292;0.1129;1362823;405627;312901;273394;256226;200679;471831
6293;-0.0150;583457;133091;90811;50734;36414;36414;136630
6294;-0.0538;555356;87003;52828;13439;2487;2487;124285
6295;-0.0680;27800;-129035;-120770;-71724;-73037;-72073;48176
6296;0.1502;1107570;696187;572304;452813;373346;373346;419140
6297;0.0623;510830;107385;96119;65661;51201;34871;-58865
6298;0.2681;210677;31535;26045;28483;28994;28993;13493
6299;0.2679;214324;45625;25372;13868;19940;19940;56151
6300;-0.0779;572702;92334;91111;89002;69236;69769;-40448
6301;0.0185;15155;1431;1283;313;206;206;-1184
6302;0.1582;156243;53011;52619;69446;63144;62777;58367
6303;0.2179;1335718;200314;189079;165987;111786;111786;80241
6304;0.0854;167170;30828;23898;30265;29658;29648;-14686
6305;0.2216;217756;43284;33972;42606;30636;30636;8452
6306;-0.1213;928637;136317;129825;128248;144382;137363;-155910
6307;0.0070;7799844;1151272;674702;491017;419657;369024;883307
6308;0.0034;7799844;1141951;665360;476478;415590;175744;835081
6309;-0.0813;1869842;336128;261907;217860;132212;132212;485669
6310;-0.0741;121345;7177;3057;-7867;-4053;173;-5931
6311;0.2427;80650;12548;10611;14181;11997;11997;9015
6312;0.1115;488128;104034;96864;133276;122755;122670;84189
6313;0.0250;1557490;357861;334349;319466;219301;219301;343768
6314;-0.0595;916509;240654;217115;216055;163521;163521;88124
6315;0.1043;254787;40471;49623;61842;51440;48055;126175
6316;-0.1333;993;-3411;-3411;-13465;-13412;-13412;181
6317;-0.0680;31070;4044;4349;-2857;-2888;-2950;7785
6318;-0.2015;942604;204970;191523;138392;84053;84053;-46978
6319;0.0812;303676;-8460;725;-8103;-11286;-4444;9633
6320;0.0913;191213;28146;21078;19822;17381;17179;14411
6321;0.1619;435587;58887;56949;32187;32094;23971;131464
6322;0.0913;549865;58423;38053;33531;25671;25671;-68612
6323;-0.0126;14319611;781891;485493;-464823;-499532;-539301;-147945
6324;0.1758;336679;177219;171916;166324;159508;159150;74905
6325;0.2511;567855;91332;61855;26774;25642;25631;81148
6326;0.4176;103061;15633;14431;8653;10256;10141;1497
6327;0.2479;107242;30296;26771;25879;17039;17039;6900
6328;0.1526;1733097;337483;247470;117025;51755;51755;303612
6329;-0.0906;722138;192096;143697;102412;71500;71500;-76393
6330;0.1202;173007;25272;17352;14501;7373;7482;12914
6331;-0.0252;2944830;482823;441311;220337;152556;158849;257401
6332;0.0357;707253;150095;123313;115264;87590;87590;97379
6333;-0.0264;899753;156727;135952;152849;123169;123169;388184
6334;-0.1774;136645;-2605;-10140;-37250;-43107;-43171;3604
6335;-0.0506;634048;115572;100774;98849;105113;105113;48639
6336;0.0750;197187;10861;4781;859;718;-13109;18552
6337;0.2649;844224;98205;88758;117406;82593;83377;85210
6338;-0.1077;5317776;693299;424795;61051;158077;161111;-330315
6339;-0.0803;203;427558;427431;612377;401957;401957;613
6340;0.2137;194866;17948;12372;12821;9940;5989;-13343
6341;0.1691;154217;45365;30818;31286;30061;30061;34808
6342;-0.0303;33503;-7528;-9224;-13132;-3604;-4524;-17393
6343;-0.1549;200084;82884;79120;114349;104141;72676;335451
6344;-0.0478;866167;150253;147905;164213;153409;152122;-45732
6345;0.2278;186808;27992;26546;30438;26267;31349;93182
6346;0.1500;2506190;829151;562441;570911;704963;705036;665501
6347;-0.1987;8834;-49184;-49252;-24040;-24842;-24720;430037
6348;0.1677;81370;968;556;4116;4105;4105;14248
6349;-0.1497;969300;39418;18888;-11428;7285;7289;-256929
6350;-0.0330;1779051;182189;182480;206413;189423;202853;3246256
6351;-0.0763;827794;-58211;-59564;-61598;-61598;-61577;31369
6352;0.0212;54491177;14481636;10552090;13087901;10636110;10601649;15426583
6353;0.1694;64564;1155;-2206;-2700;-2283;-2026;-9678
6354;0.0137;283680;23903;15074;344;60;56;52337
